Date No.,Daily Average Temperature
1,23.56
2,23.44
3,23.51
4,23.47
5,25
6,26
7,26
8,24.36
9,23.52
10,26
11,27
12,27
13,24.34
14,26
15,26
16,27
17,29
18,28
19,27
20,25
21,26
22,26
23,27
24,31
25,33
26,27
27,23.57
28,25
29,25
30,28
31,23.5
32,28
33,25
34,29
35,27
36,27
37,23.51
38,29
39,25
40,27
41,23.52
42,24.32
43,24.3
44,31
45,31
46,32
47,27
48,24.37
49,26
50,27
51,32
52,34.4
53,29
54,25
55,26
56,23.89
57,27
58,30
59,31
60,27
61,34.16
62,33.64
63,34.09
64,34.48
65,34.47
66,34.47
67,34.45
68,33.63
69,30
70,33
71,33
72,33
73,34.21
74,34.15
75,34.47
76,34.5
77,34.57
78,34.4
79,34.12
80,33.66
81,31
82,31
83,29
84,33.65
85,33
86,33.67
87,33.69
88,31
89,33.65
90,33.62
