Date No.,Average_Dissolved_Oxygen
1,5.720
2,5.740
3,6.590
4,6.960
5,6.450
6,5.300
7,5.850
8,6.830
9,5.460
10,6.270
11,5.530
12,5.610
13,5.990
14,5.320
15,6.470
16,6.000
17,5.660
18,5.410
19,6.100
20,6.570
21,7.020
22,6.420
23,5.950
24,6.040
25,6.900
26,5.410
27,5.720
28,5.350
29,6.930
30,6.070
31,6.730
32,5.420
33,5.430
34,6.440
35,6.860
36,5.300
37,5.390
38,5.460
39,5.320
40,6.190
41,5.530
42,5.500
43,5.940
44,6.790
45,5.860
46,5.330
47,6.110
48,6.430
49,6.090
50,6.560
51,6.290
52,6.640
53,5.390
54,5.320
55,5.680
56,6.790
57,6.770
58,5.440
59,6.970
60,6.010
61,6.330
62,6.030
63,5.520
64,6.960
65,5.360
66,5.450
67,6.390
68,5.330
69,5.600
70,6.940
71,5.310
72,6.080
73,5.620
74,6.950
75,6.070
76,5.600
77,6.090
78,6.110
79,5.390
80,5.360
81,6.910
82,5.530
83,5.530
84,5.920
85,6.820
86,6.880
87,6.340
88,5.670
89,6.750
90,6.950
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
