Date No.,Average_pH
1,8.06
2,8.67
3,8.88
4,8.59
5,7.61
6,8.14
7,8.82
8,7.77
9,8.46
10,7.88
11,7.95
12,8.25
13,7.64
14,8.6
15,7.91
16,7.99
17,7.69
18,8.32
19,8.66
20,8.9
21,8.56
22,7.81
23,8.28
24,8.86
25,7.75
26,8.05
27,7.67
28,8.89
29,8.85
30,8.76
31,7.7
32,7.74
33,8.56
34,8.84
35,7.64
36,8.78
37,7.81
38,7.61
39,8.4
40,7.89
41,7.79
42,8.21
43,8.42
44,8.14
45,7.65
46,8.33
47,8.57
48,8.31
49,8.63
50,8.46
51,8.69
52,7.68
53,7.63
54,8.01
55,8.79
56,8.78
57,7.75
58,8.88
59,8.26
60,8.5
61,8.28
62,7.88
63,8.87
64,7.68
65,7.79
66,8.54
67,7.62
68,7.95
69,8.88
70,7.65
71,8.31
72,7.97
73,8.87
74,8.3
75,7.94
76,8.31
77,8.33
78,7.68
79,7.67
80,8.86
81,7.89
82,7.89
83,8.19
84,8.79
85,8.84
86,8.51
87,8
88,8.76
89,8.89
90,8.2
